t_norm,offset_px
5.825000000000000178e-01,1.037689743041992188e+02
5.874999999999999112e-01,8.904084014892578125e+01
5.925000000000000266e-01,1.029046783447265625e+02
5.974999999999999201e-01,9.117689514160156250e+01
6.025000000000000355e-01,1.077517776489257812e+02
6.074999999999999289e-01,9.905777740478515625e+01
6.125000000000000444e-01,1.081547546386718750e+02
6.174999999999999378e-01,1.162850494384765625e+02
6.225000000000000533e-01,1.279990768432617188e+02
6.274999999999999467e-01,1.552661437988281250e+02
6.325000000000000622e-01,1.744753570556640625e+02
6.374999999999999556e-01,1.766889343261718750e+02
6.425000000000000711e-01,1.781035308837890625e+02
6.474999999999999645e-01,1.641069641113281250e+02
6.525000000000000799e-01,1.620147552490234375e+02
6.574999999999999734e-01,1.852564239501953125e+02
6.625000000000000888e-01,1.837296905517578125e+02
6.674999999999999822e-01,1.820341644287109375e+02
6.725000000000000977e-01,1.800725860595703125e+02
6.774999999999999911e-01,2.025175323486328125e+02
6.825000000000001066e-01,1.848208007812500000e+02
6.875000000000000000e-01,1.775205688476562500e+02
6.925000000000001155e-01,1.782294311523437500e+02
6.975000000000000089e-01,1.894934082031250000e+02
7.025000000000000133e-01,1.851712799072265625e+02
7.075000000000000178e-01,1.914895629882812500e+02
7.124999999999999112e-01,1.826515655517578125e+02
7.175000000000000266e-01,1.759251556396484375e+02
7.224999999999999201e-01,1.811044921875000000e+02
7.275000000000000355e-01,1.800484161376953125e+02
7.324999999999999289e-01,1.784815368652343750e+02
7.375000000000000444e-01,1.546959075927734375e+02
7.424999999999999378e-01,1.533059844970703125e+02
7.475000000000000533e-01,1.381199188232421875e+02
7.524999999999999467e-01,1.261502990722656250e+02
7.575000000000000622e-01,1.114969482421875000e+02
7.624999999999999556e-01,1.078187713623046875e+02
7.675000000000000711e-01,1.050484237670898438e+02
7.724999999999999645e-01,9.674207305908203125e+01
7.775000000000000799e-01,8.966405487060546875e+01
7.824999999999999734e-01,7.306374359130859375e+01
7.875000000000000888e-01,6.690174102783203125e+01
7.924999999999999822e-01,4.462102508544921875e+01
7.975000000000000977e-01,3.694330215454101562e+01
8.024999999999999911e-01,2.821507072448730469e+01
8.075000000000001066e-01,2.170425033569335938e+01
8.125000000000000000e-01,4.405483245849609375e+00
8.175000000000001155e-01,-8.312949538230895996e-01
8.225000000000000089e-01,-3.354654312133789062e+00
8.275000000000001243e-01,-3.062663316726684570e+00
8.325000000000000178e-01,-1.265296554565429688e+01
8.374999999999999112e-01,-9.811677932739257812e+00
8.425000000000000266e-01,-3.806671857833862305e+00
8.474999999999999201e-01,-7.089410305023193359e+00
8.525000000000000355e-01,-1.044131660461425781e+01
8.574999999999999289e-01,-1.379777336120605469e+01
8.625000000000000444e-01,-1.718411254882812500e+01
8.674999999999999378e-01,-2.057727622985839844e+01
8.725000000000000533e-01,-1.203313636779785156e+01
8.774999999999999467e-01,-1.197686195373535156e+01
8.825000000000000622e-01,-2.329651069641113281e+01
8.874999999999999556e-01,-2.624862861633300781e+01
8.925000000000000711e-01,-1.783276367187500000e+01
8.974999999999999645e-01,-1.750735092163085938e+01
9.025000000000000799e-01,-1.699916076660156250e+01
9.074999999999999734e-01,-5.443946838378906250e+00
9.125000000000000888e-01,-1.430194377899169922e+00
9.174999999999999822e-01,2.944818258285522461e+00
9.225000000000000977e-01,7.652220249176025391e+00
9.274999999999999911e-01,6.096173286437988281e+00
9.325000000000001066e-01,4.203559398651123047e+00
9.375000000000000000e-01,2.112423896789550781e+00
9.425000000000001155e-01,-3.918787464499473572e-02
9.475000000000000089e-01,-2.113230943679809570e+00
9.525000000000001243e-01,-3.971660375595092773e+00
9.575000000000000178e-01,-5.476430416107177734e+00
9.624999999999999112e-01,-6.489496231079101562e+00
9.675000000000000266e-01,-6.872813224792480469e+00
9.724999999999999201e-01,-6.488335132598876953e+00
9.775000000000000355e-01,-5.198017597198486328e+00
9.824999999999999289e-01,-2.863814830780029297e+00
9.875000000000000444e-01,6.523178219795227051e-01
9.924999999999999378e-01,5.488425731658935547e+00
9.975000000000000533e-01,1.178255367279052734e+01
